nome;preço;ano;quilometragem;cidade;estado;marca
Volkswagen Gol 1.0 Trend Total Flex 5p;17499.0;2008;176.000 Km;São Bernardo do Campo ; São Paulo;Volkswagen
Peugeot 207 Passion 1.4 Xr Sport Flex 4p;19900.0;2010;117.000 Km;São Paulo Zona Sul ; São Paulo;Peugeot
Fiat Palio 1.0 Fire Economy Flex 5p;24990.0;2012;134.000 Km;São Paulo Zona Sul ; São Paulo;Fiat
Renault Sandero 1.0 Expression 16v;23900.0;2008;147.000 Km;Osasco ; São Paulo;Renault
Renault Clio Sedan 1.6 16v Privilège 4p;24990.0;2005;131.300 Km;São Caetano do Sul ; São Paulo;Renault
Peugeot 207 Sw 1.4 Xr Sw 8v;24900.0;2012;170.000 Km;São Paulo Zona Leste ; São Paulo;Peugeot
Chery Qq 1.1 16v 5p;20900.0;2013;76.983 Km;São Paulo Zona Norte ; São Paulo;Chery
Ford Fiesta Sedan 1.6 Flex 4p;23900.0;2007;240.000 Km;Barueri ; São Paulo;Ford
Fiat Palio 1.0 Fire 5p;18900.0;2003;168.000 Km;São Paulo Zona Leste ; São Paulo;Fiat
Fiat Stilo 1.8 8v Flex Dualogic 5p;22800.0;2009;186.000 Km;Mauá ; São Paulo;Fiat
Ford Fiesta 1.0 Flex 5p;23900.0;2009;111.000 Km;São Paulo Zona Sul ; São Paulo;Ford
Renault Scenic 1.6 16v Expression Hi-flex 5p;19000.0;2007;220.337 Km;Guarulhos ; São Paulo;Renault
Fiat Palio 1.0 Fire Economy Flex 3p;23990.0;2013;186.000 Km;Carapicuíba ; São Paulo;Fiat
Renault Sandero 1.0 16v Authentique Hi-flex 5p;24990.0;2013;148.000 Km;São Paulo Zona Leste ; São Paulo;Renault
Chevrolet Celta 1.0 Mpfi Vhc Life 8v Flex 4p Manual;19800.0;2005;167.000 Km;Guarulhos ; São Paulo;Chevrolet
Renault Sandero 1.0 16v Expression Hi-flex 5p;21900.0;2009;122.000 Km;São Bernardo do Campo ; São Paulo;Renault
Fiat Palio Weekend 1.5 Mpi 5p;15900.0;1998;299.000 Km;São Paulo Zona Sul ; São Paulo;Fiat
Ford Ecosport 1.0 Xl Supercharger 5p;21900.0;2004;211.000 Km;Guarulhos ; São Paulo;Ford
Volkswagen Gol 1.0 Total Flex 5p;22900.0;2009;180.000 Km;São Paulo Zona Sul ; São Paulo;Volkswagen
Volkswagen Fox 1.0 City Total Flex 3p;19990.0;2008;158.990 Km;São Paulo Zona Leste ; São Paulo;Volkswagen
Peugeot 207 Xs 1.6 Completo;24790.0;2010;193.000 Km;São Paulo Zona Sul ; São Paulo;Peugeot
Renault Clio Hatch 1.0 Authentique;12900.0;2008;211.000 Km;Taboão da Serra ; São Paulo;Renault
Chevrolet Corsa Sedan 1.0 4p;19900.0;2004;180.000 Km;São Paulo Zona Sul ; São Paulo;Chevrolet
Volkswagen Fox 1.6 Vht Plus Total Flex 5p;25000.0;2009;193.000 Km;Guarulhos ; São Paulo;Volkswagen
Renault Sandero 1.0 16v Expression Hi-flex 5p;24999.0;2011;130.000 Km;Guarulhos ; São Paulo;Renault
Ford Fiesta 1.0 Flex 5p;21500.0;2012;127.000 Km;Osasco ; São Paulo;Ford
Renault Scenic Scénic Expression 1.6 16v;16900.0;2004;9.241.000 Km;Osasco ; São Paulo;Renault
Chevrolet Celta 1.0 Super Flex Power 5p;21900.0;2007;192.000 Km;São Paulo Zona Norte ; São Paulo;Chevrolet
Volkswagen Gol 1.0 16v 5p;13990.0;2000;248.000 Km;São Paulo Zona Sul ; São Paulo;Volkswagen
Fiat Siena 1.0 Fire Celebration Flex 4p;18990.0;2007;213.098 Km;Osasco ; São Paulo;Fiat
Chevrolet Corsa Classic 1.6 Spirit 4p;19890.0;2007;158.819 Km;Santo André ; São Paulo;Chevrolet
Fiat Palio 1.0 Fire Flex 5p;23990.0;2007;136.000 Km;Campinas ; São Paulo;Fiat
Fiat Palio 1.0 Fire Economy Flex 3p;15500.0;2011;286.346 Km;São Paulo Zona Leste ; São Paulo;Fiat
Fiat Uno Mille Uno Mille Fire Economy 1.0 (flex) 2p;23900.0;2013;195.338 Km;Suzano ; São Paulo;Fiat
Ford Fiesta 1.0 Flex 5p;20000.0;2007;144.000 Km;São Paulo Zona Norte ; São Paulo;Ford
Citroën C3 1.4 8v Glx Flex 5p;19800.0;2008;159.000 Km;São Paulo Zona Sul ; São Paulo;Citroën
Fiat Palio 1.0 Mpi Ex 8v;17900.0;2002;127.845 Km;Carapicuíba ; São Paulo;Fiat
Renault Logan 1.6 Expression Hi-torque 4p;20000.0;2010;181.000 Km;Santo André ; São Paulo;Renault
Chevrolet Corsa Sedan 1.4 Maxx Econoflex 4p;23900.0;2009;171.000 Km;São Paulo Zona Norte ; São Paulo;Chevrolet
Fiat Siena 1.0 Fire Flex 4p;23900.0;2008;223.000 Km;Carapicuíba ; São Paulo;Fiat
Volkswagen Fox 1.0 Vht Trend Total Flex 5p;24000.0;2011;189.000 Km;São Paulo Zona Leste ; São Paulo;Volkswagen
Fiat Idea Elx Flex;22990.0;2007;187.000 Km;São Paulo Zona Sul ; São Paulo;Fiat
Citroën C3 1.4 8v Glx Flex 5p;20600.0;2009;134.400 Km;São Paulo Zona Norte ; São Paulo;Citroën
Volkswagen Kombi 1.6 3p Gasolina;12000.0;1994;58.000 Km;São Paulo Centro ; São Paulo;Volkswagen
Fiat Linea 1.9 16v Flex 4p;19900.0;2009;186.172 Km;São Paulo Centro ; São Paulo;Fiat
Renault Clio 1.0 16v Authentique Hi-power 3p;19000.0;2013;53.162 Km;Embu Guaçu ; São Paulo;Renault
Renault Clio 1.0 16v Campus Hi-flex 5p;17000.0;2009;198.000 Km;Barueri ; São Paulo;Renault
Peugeot 207 Scapade;18000.0;2012;209.000 Km;São Paulo Zona Leste ; São Paulo;Peugeot
Volkswagen Fox 1.0 Vht Total Flex 3p;21900.0;2009;139.000 Km;São Paulo Zona Sul ; São Paulo;Volkswagen
Renault Logan 1.0 16v Expression Hi-flex 4p;23000.0;2012;198.000 Km;São Bernardo do Campo ; São Paulo;Renault
Jac J2 1.4 16v 5p;22900.0;2013;105.000 Km;Guarulhos ; São Paulo;Jac
Chevrolet Celta 1.0 Spirit Flex Power 3p;22800.0;2011;120.975 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Peugeot 207 207 Hatch Xr Sport 1.4 8v (flex);23890.0;2009;149.000 Km;São Paulo Zona Leste ; São Paulo;Peugeot
Renault Clio Hatch Authentic;17900.0;2006;192.000 Km;Osasco ; São Paulo;Renault
Chevrolet Agile 1.4 Ltz 5p;23500.0;2011;140.000 Km;Carapicuíba ; São Paulo;Chevrolet
Renault Sandero 1.6 16v Privilège Hi-flex Aut. 5p;25000.0;2012;160.000 Km;São Caetano do Sul ; São Paulo;Renault
Volkswagen Gol 1.0 Plus Total Flex 5p;18900.0;2007;169.000 Km;São Paulo Zona Sul ; São Paulo;Volkswagen
Chevrolet Celta 1.0 3p;11300.0;2002;264.000 Km;São Paulo Zona Norte ; São Paulo;Chevrolet
Chevrolet Corsa 1.4 Maxx Econoflex 5p;24900.0;2009;160.783 Km;São Paulo Zona Norte ; São Paulo;Chevrolet
Ford Ka 1.0 Gl 3p;20900.0;2007;87.000 Km;São Paulo Zona Sul ; São Paulo;Ford
Peugeot 207 1.4 Xr Flex 5p;20900.0;2013;177.156 Km;São Paulo Zona Leste ; São Paulo;Peugeot
Chevrolet Corsa 1.0 Wind 5p;16900.0;1999;266.235 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Fiat Uno 1.0 Mille 5 Portas;21300.0;2011;201.137 Km;São Paulo Zona Leste ; São Paulo;Fiat
Renault Logan 1.6 Expression Hi-torque 4p;19000.0;2008;287.500 Km;São Paulo Zona Leste ; São Paulo;Renault
Chevrolet Celta 1.0 Mpfi Life 8v Flex 2p Manual;21900.0;2011;102.288 Km;Pirassununga ; São Paulo;Chevrolet
Volkswagen Quantum 2.0 5p;5500.0;1997;111.111 Km;Serrana ; São Paulo;Volkswagen
Chevrolet Celta Celta Spirit 1.4 Mpfi 8v 85cv 3p;17998.0;2005;179.207 Km;Mogi das Cruzes ; São Paulo;Chevrolet
Chevrolet Meriva Meriva 1.8 Cd;22900.0;2004;219.000 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Volkswagen Gol 1.0 Mi 3p;18990.0;1996;165.000 Km;São Paulo Zona Norte ; São Paulo;Volkswagen
Ford Ka 1.0 Mpi 8v;24900.0;2011;212.339 Km;São Paulo Zona Sul ; São Paulo;Ford
Chevrolet Celta 1.0 5p;12900.0;2003;120.000 Km;São Paulo Zona Norte ; São Paulo;Chevrolet
Volkswagen Gol 1.0 Special 2p Gasolina;9990.0;2003;220.341 Km;São Bernardo do Campo ; São Paulo;Volkswagen
Chevrolet Celta Super 1.0 Mpfi Vhc 8v 2004 1.0 Mpfi Vhc 8v;18900.0;2004;234.000 Km;São Paulo Zona Sul ; São Paulo;Chevrolet
Ford Fiesta 1.0 Mpi Sedan 8v Flex 4p Manual;23990.0;2008;281.000 Km;São Paulo Zona Oeste ; São Paulo;Ford
Fiat Palio 1.0 Fire Celebration Flex 5p;21990.0;2007;167.000 Km;São Bernardo do Campo ; São Paulo;Fiat
Volkswagen Fox 1.6 Plus Total Flex 5p;23000.0;2007;240.000 Km;Embu das Artes ; São Paulo;Volkswagen
Fiat Palio 1.0 Fire Flex 3p;24900.0;2007;144.000 Km;São Paulo Zona Sul ; São Paulo;Fiat
Volkswagen Fox 1.0;24900.0;2008;221.047 Km;Osasco ; São Paulo;Volkswagen
Fiat Palio 1.4 Elx Flex 5p;24900.0;2006;200.000 Km;São Paulo Zona Norte ; São Paulo;Fiat
Renault Sandero 1.0 Authentique 16v Flex 4p Manual;16900.0;2010;165.000 Km;São Paulo Zona Sul ; São Paulo;Renault
Chevrolet Zafira 2.0 Comfort Flex Power 5p;22900.0;2009;450.000 Km;Carapicuíba ; São Paulo;Chevrolet
Chevrolet Meriva 1.8 Flex Power 5p;21790.0;2004;219.000 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Ford Fiesta 1.0 Flex 5p;22900.0;2008;120.000 Km;São Paulo Zona Sul ; São Paulo;Ford
Fiat Palio 1.0 Mpi Fire 8v Flex 2p Manual;17300.0;2008;192.000 Km;Guarulhos ; São Paulo;Fiat
Chevrolet Corsa 1.0 Joy Flex Power 5p;23000.0;2008;133.000 Km;Bariri ; São Paulo;Chevrolet
Ford Ka 1.0 Flex 3p;17990.0;2013;175.000 Km;Praia Grande ; São Paulo;Ford
Chevrolet Meriva 1.8 Maxx Flex Power 5p;22999.0;2005;182.000 Km;São Paulo Zona Norte ; São Paulo;Chevrolet
Renault Sandero 1.0 16v Authentique Hi-flex 5p;19000.0;2010;153.000 Km;Itaquaquecetuba ; São Paulo;Renault
Chevrolet Meriva 1.8 5p;18990.0;2003;160.000 Km;Diadema ; São Paulo;Chevrolet
Renault Clio 1.0 Authentique 16v;22900.0;2008;144.000 Km;Osasco ; São Paulo;Renault
Volkswagen Gol 1.0 Tec Total Flex 3p;24999.0;2013;111.000 Km;Guarulhos ; São Paulo;Volkswagen
Peugeot 207 Passion 1.4 Xr Flex 4p;24990.0;2012;175.000 Km;Campinas ; São Paulo;Peugeot
Fiat Palio 1.3 Elx Flex 5p;22900.0;2004;236.000 Km;São Paulo Zona Leste ; São Paulo;Fiat
Chevrolet Corsa 1.0 Mpfi Maxx 8v Flex 4p Manual;21900.0;2008;248.000 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Ford Fiesta Sedan 1.6 Flex 4p;21900.0;2005;187.000 Km;São Paulo Zona Leste ; São Paulo;Ford
Chevrolet Corsa Classic 1.0 Life Flex Power 4p;15900.0;2008;193.000 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Ford Fiesta 1.0 Flex 5p;22200.0;2011;158.457 Km;São Paulo Zona Norte ; São Paulo;Ford
Peugeot 207 1.4 Xr Flex 5p;16000.0;2011;375.000 Km;Itaquaquecetuba ; São Paulo;Peugeot
Peugeot 206 Sw 206 Sw Moonlight 1.4 (flex);21990.0;2008;105.000 Km;São Paulo Zona Leste ; São Paulo;Peugeot
Peugeot 106 1.0 Soleil 5p;3000.0;1998;167.000 Km;São Paulo Zona Oeste ; São Paulo;Peugeot
Ford Fiesta 1.0 Flex 5p;18900.0;2009;211.344 Km;São Paulo Zona Sul ; São Paulo;Ford
Citroën C3 1.4 8v Exclusive Flex 5p;20000.0;2012;202.000 Km;São Paulo Zona Sul ; São Paulo;Citroën
Fiat Palio 1.0 Ex 3p;12900.0;2002;218.000 Km;São Paulo Zona Leste ; São Paulo;Fiat
Citroën Xsara Picasso 1.6 Glx Flex 5p;21900.0;2008;139.000 Km;São Paulo Zona Sul ; São Paulo;Citroën
Fiat Uno 1.0 Vivace Flex 3p;24900.0;2012;101.035 Km;São Paulo Zona Sul ; São Paulo;Fiat
Chevrolet Vectra 2.2 Gls 4p;25000.0;1999;190.000 Km;Itaquaquecetuba ; São Paulo;Chevrolet
Peugeot 207 207 Hatch Xr S 1.4 8v (flex);22900.0;2009;145.900 Km;São Paulo Zona Norte ; São Paulo;Peugeot
Citroën Xsara Picasso 1.6 I Glx 16v Flex 4p Manual;24700.0;2011;192.371 Km;Osasco ; São Paulo;Citroën
Ford Ka 1.0 Flex 3p;18800.0;2010;53.000 Km;São Paulo Zona Sul ; São Paulo;Ford
Renault Sandero 1.0 16v Expression Hi-flex 5p;24900.0;2010;175.000 Km;São Paulo Zona Leste ; São Paulo;Renault
Volkswagen Fox 1.0 Mi City 8v Flex 4p Manual;21890.0;2007;232.000 Km;São Paulo Zona Leste ; São Paulo;Volkswagen
Ford Ka 1.0 Mpi 8v;19990.0;2010;132.091 Km;Santo André ; São Paulo;Ford
Ford Ka 1.0 Mpi 8v;20990.0;2010;107.054 Km;Santo André ; São Paulo;Ford
Citroën C3 1.4 8v Glx Flex 5p;19900.0;2009;123.000 Km;São Paulo Zona Leste ; São Paulo;Citroën
Fiat Palio 1.0 Ex 5p;16500.0;2000;160.000 Km;São Paulo Zona Sul ; São Paulo;Fiat
Fiat Siena 1.0 Fire Flex 4p;24900.0;2010;148.000 Km;São Paulo Zona Oeste ; São Paulo;Fiat
Chevrolet Corsa 1.4 Gl 3p;16990.0;1996;177.399 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Fiat Palio 1.0 Fire Economy Flex 3p;22000.0;2010;209.000 Km;São Paulo Zona Leste ; São Paulo;Fiat
Chevrolet Classic 1.0 Ls Flex Power 4p;24500.0;2012;157.000 Km;Rio Grande da Serra ; São Paulo;Chevrolet
Toyota Corolla 1.8 16v Xei 4p;22900.0;2001;390.000 Km;São Paulo Zona Leste ; São Paulo;Toyota
Chevrolet Celta 1.0 Lt Flex Power 5p;23000.0;2012;140.000 Km;São Paulo Zona Norte ; São Paulo;Chevrolet
Fiat Uno Mille Economy;23000.0;2010;163.000 Km;Paulínia ; São Paulo;Fiat
Peugeot 207 1.4 Xr Flex 5p;22000.0;2012;140.000 Km;Osasco ; São Paulo;Peugeot
Volkswagen Fox 1.0 Mi 8v Flex 2p Manual;18990.0;2008;205.086 Km;Itaquaquecetuba ; São Paulo;Volkswagen
Volkswagen Fox 1.0 Vht Trend Total Flex 5p;24500.0;2010;193.000 Km;São Paulo Zona Leste ; São Paulo;Volkswagen
Citroën C3 1.4 8v Exclusive Flex 5p;22000.0;2010;132.200 Km;Embu das Artes ; São Paulo;Citroën
Fiat Uno 1.0 Vivace Flex 3p;22000.0;2012;85.782 Km;Guarulhos ; São Paulo;Fiat
Ford Ka 1.0 Flex 3p;21900.0;2011;149.000 Km;São Paulo Zona Leste ; São Paulo;Ford
Chevrolet Corsa 1.0 Wind 5p;16990.0;1999;248.300 Km;São Bernardo do Campo ; São Paulo;Chevrolet
Chevrolet Celta 1.0 Super 3p;15890.0;2004;248.899 Km;São Paulo Zona Norte ; São Paulo;Chevrolet
Volkswagen Passat Variant 1.8 5p;22900.0;1999;123.456 Km;São Paulo Zona Norte ; São Paulo;Volkswagen
Volkswagen Fox 1.0 Plus Total Flex 3p;16900.0;2004;159.000 Km;São Paulo Zona Sul ; São Paulo;Volkswagen
Fiat Palio Palio Fire 1.0 8v (flex) 2p;23900.0;2007;128.454 Km;São Paulo Zona Norte ; São Paulo;Fiat
Fiat Siena 1.0 Fire Flex 4p;22900.0;2009;207.743 Km;Guarulhos ; São Paulo;Fiat
Ford Ecosport 1.6 Xl 5p;24900.0;2004;155.000 Km;Carapicuíba ; São Paulo;Ford
Chevrolet Meriva 1.8 Premium Flex Power 5p;22000.0;2008;227.271 Km;São Paulo Zona Oeste ; São Paulo;Chevrolet
Fiat Palio Weekend 1.6 Elx 5p;15000.0;1998;240.000 Km;São Paulo Zona Sul ; São Paulo;Fiat
Peugeot 206 1.4 Presence Flex 5p;14000.0;2007;180.000 Km;Guarulhos ; São Paulo;Peugeot
Peugeot 207 Hb Xr;23900.0;2011;111.205 Km;Santos ; São Paulo;Peugeot
Ford Fiesta 1.0 Mpi Personnalité 8v Gasolina 4p Manual;19800.0;2003;170.000 Km;Guarulhos ; São Paulo;Ford
Ford Ka 1.0 Flex 3p;21500.0;2012;112.000 Km;São Paulo Zona Leste ; São Paulo;Ford
Ford Ka 1.0 Tecno Flex 3p;19000.0;2009;74.000 Km;São Paulo Zona Leste ; São Paulo;Ford
Citroën C3 1.6 16v Glx Flex 5p;21000.0;2008;99.000 Km;São Paulo Zona Oeste ; São Paulo;Citroën
Honda Civic 1.7 Lx Aut. 4p;22900.0;2002;167.000 Km;Guarulhos ; São Paulo;Honda
Renault Sandero 1.0 16v Expression Hi-flex 5p;23990.0;2009;197.347 Km;Guarulhos ; São Paulo;Renault
Volkswagen Fox Fox Plus 1.0 8v (flex);20900.0;2006;164.500 Km;Osasco ; São Paulo;Volkswagen
Peugeot 206 1.4 Presence Flex 5p;12300.0;2008;71.950 Km;São Paulo Zona Sul ; São Paulo;Peugeot
Chevrolet Corsa Classic 1.0 Life Flex Power 4p 70 Hp;19500.0;2009;127.000 Km;São Paulo Zona Norte ; São Paulo;Chevrolet
Ford Ka 1.0 Flex 3p;21790.0;2009;120.000 Km;São Paulo Zona Norte ; São Paulo;Ford
Ford Focus 1.6 Gl Flex 5p;21900.0;2008;155.000 Km;São Paulo Zona Sul ; São Paulo;Ford
Fiat Palio Weekend Adventure;23900.0;2005;190.128 Km;São Paulo Zona Sul ; São Paulo;Fiat
Chevrolet Celta 1.0 Life Flex Power 3p;20000.0;2010;220.000 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Chevrolet Celta 1.0 Spirit Flex Power 3p;19500.0;2010;204.000 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Peugeot 206 Sw 1.6 16v Escapade Flex 5p;20500.0;2008;140.000 Km;São Paulo Centro ; São Paulo;Peugeot
Chevrolet Meriva 1.8 Joy Flex Power 5p;24900.0;2008;159.000 Km;São Paulo Zona Sul ; São Paulo;Chevrolet
Chevrolet Corsa 1.4 Maxx Econoflex 5p;25000.0;2011;230.000 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Fiat Palio 1.4 Elx Flex 5p;24900.0;2007;233.935 Km;São Paulo Zona Leste ; São Paulo;Fiat
Ford Fiesta Fiesta Street 1.0 8v 3p;15990.0;2003;143.000 Km;São Bernardo do Campo ; São Paulo;Ford
Volkswagen Fox 1.0 Vht Total Flex 3p;24900.0;2009;103.328 Km;São Paulo Zona Norte ; São Paulo;Volkswagen
Fiat Mille 1.0 Fire Economy Flex 5p;14990.0;2008;169.000 Km;São Paulo Zona Leste ; São Paulo;Fiat
Ford Fiesta 1.0 Flex 5p;19500.0;2010;118.000 Km;Mauá ; São Paulo;Ford
Renault Sandero 1.0 Expression 16v Flex 4p Manual;24900.0;2009;195.000 Km;Osasco ; São Paulo;Renault
Chevrolet Kadett Sl 1.8;15990.0;1991;80.000 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Fiat Stilo 1.8 8v Flex 5p;23500.0;2007;195.000 Km;São Paulo Zona Leste ; São Paulo;Fiat
Fiat Idea 1.4 Elx Flex 5p;19900.0;2006;180.000 Km;São Paulo Zona Sul ; São Paulo;Fiat
Chevrolet Celta 1.0 Mpfi Vhc Life 8v;22900.0;2006;174.247 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Volkswagen Fusca Fusca 1500;14890.0;1975;66.520 Km;São Paulo Zona Norte ; São Paulo;Volkswagen
Renault Scenic 1.6 16v Authentique Hi-flex 5p;24800.0;2009;113.000 Km;Barueri ; São Paulo;Renault
Ford Ka 1.0 Mpi Gl 8v Gasolina 2p Manual;14999.0;2006;191.540 Km;São Paulo Zona Oeste ; São Paulo;Ford
Ford Escort Xls;23900.0;2004;197.343 Km;São Paulo Zona Leste ; São Paulo;Ford
Volkswagen Fox 1.0 City Total Flex 5p;22900.0;2008;146.478 Km;São Paulo Zona Leste ; São Paulo;Volkswagen
Volkswagen Fox 1.6 Mi Plus 8v;24990.0;2004;184.000 Km;Santo André ; São Paulo;Volkswagen
Peugeot 207 1.6 16v Quiksilver Flex 5p;18900.0;2012;95.000 Km;Ferraz de Vasconcelos ; São Paulo;Peugeot
Peugeot 207 Sw Peugeot 207 Sw Xr 1.4 8v (flex);20900.0;2009;199.000 Km;São Paulo Centro ; São Paulo;Peugeot
Ford Ka 1.0 Tecno Flex 3p;22000.0;2011;102.390 Km;Embu das Artes ; São Paulo;Ford
Chevrolet Vectra Vectra Gls/expres.2.2/ 2.0 E 2.0 Cd 8v;12900.0;1998;294.686 Km;Santo André ; São Paulo;Chevrolet
Chevrolet Prisma 1.4 Joy Econoflex 4p;19900.0;2007;130.000 Km;São Paulo Zona Sul ; São Paulo;Chevrolet
Fiat Idea 1.4 Elx Flex 5p;24990.0;2010;138.000 Km;Diadema ; São Paulo;Fiat
Chevrolet Prisma 1.4 Joy Econoflex 4p 95 Hp;23900.0;2009;190.861 Km;São Paulo Zona Sul ; São Paulo;Chevrolet
Renault Logan 1.0 Expression 16v Flex 4p Manual;24990.0;2009;178.247 Km;Campinas ; São Paulo;Renault
Citroën C3 1.4 8v Glx Flex 5p;20200.0;2010;142.122 Km;Guarulhos ; São Paulo;Citroën
Peugeot 206 Sw 1.6 16v Escapade Flex 5p;23900.0;2008;35.000 Km;São Paulo Zona Oeste ; São Paulo;Peugeot
Volkswagen Fox 1.0 City Total Flex 3p;22900.0;2008;150.553 Km;Osasco ; São Paulo;Volkswagen
Chevrolet Corsa Sedan 1.0 Super 4p;13500.0;2000;77.000 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Chevrolet Celta 1.0 Spirit Flex Power 5p;23000.0;2009;210.000 Km;São Paulo Zona Norte ; São Paulo;Chevrolet
Ford Ka 1.0 Flex 3p;22900.0;2010;206.000 Km;Santo André ; São Paulo;Ford
Peugeot 207 1.4 Xr Flex 5p;21900.0;2011;130.000 Km;São Paulo Zona Leste ; São Paulo;Peugeot
Volkswagen Fox 1.6;17900.0;2004;168.000 Km;Osasco ; São Paulo;Volkswagen
Peugeot 207 1.4 Xr Flex 5p;17300.0;2013;157.000 Km;Osasco ; São Paulo;Peugeot
Peugeot 207 1.6 16v Xs Flex Aut. 5p;21900.0;2010;117.600 Km;Diadema ; São Paulo;Peugeot
Volkswagen Kombi 1.6 3p Gasolina;21000.0;2005;161.159 Km;São Paulo Zona Leste ; São Paulo;Volkswagen
Fiat Palio 1.0 Fire Economy Flex 5p;21500.0;2011;143.000 Km;Rio Grande da Serra ; São Paulo;Fiat
Chevrolet Corsa 1.0 Wind 5p;12900.0;1997;159.902 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Chevrolet Celta 1.0 Life Flex Power 3p;18200.0;2009;102.000 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Peugeot 207 1.4 Xr 8v Flex 2p Manual;19990.0;2009;166.000 Km;São Bernardo do Campo ; São Paulo;Peugeot
Volkswagen Fox 1.0 City Total Flex 5p;21000.0;2008;170.000 Km;São Paulo Zona Sul ; São Paulo;Volkswagen
Volkswagen Gol Volkswagen Gol 1000i Plus;14900.0;1996;71.000 Km;São Bernardo do Campo ; São Paulo;Volkswagen
Renault Clio 1.0 16v Campus Hi-flex 3p;18900.0;2009;180.000 Km;São Paulo Zona Norte ; São Paulo;Renault
Chevrolet Celta 1.0 Spirit Flex Power 5p;19900.0;2007;133.000 Km;São Paulo Zona Oeste ; São Paulo;Chevrolet
Fiat Uno 1.0 Ie Mille Sx 8v Gasolina 4p Manual;24890.0;1998;30.955 Km;Santo André ; São Paulo;Fiat
Renault Clio 1.0 16v Campus Hi-flex 5p;19900.0;2011;176.000 Km;São Paulo Zona Oeste ; São Paulo;Renault
Fiat Palio 1.0 Fire Economy Flex 5p;21000.0;2013;324.137 Km;São Paulo Zona Leste ; São Paulo;Fiat
Chevrolet Corsa Wagon 1.6 16v Gls 5p;13900.0;1999;251.000 Km;São Paulo Zona Norte ; São Paulo;Chevrolet
Renault Fluence 2.0 Dynamique Hi-flex 4p;25000.0;2012;180.000 Km;São Paulo Zona Leste ; São Paulo;Renault
Peugeot 207 1.4 Xr 8v Flex 2p Manual;18900.0;2011;144.000 Km;São Paulo Zona Norte ; São Paulo;Peugeot
Fiat Idea 1.4 Elx Flex 5p;24990.0;2008;190.000 Km;São Paulo Zona Leste ; São Paulo;Fiat
Volkswagen Gol 1.0 Mi Special 8v;15900.0;2001;154.000 Km;Osasco ; São Paulo;Volkswagen
Volkswagen Gol 1.0 16v Power 5p;15990.0;2002;178.000 Km;São Paulo Zona Norte ; São Paulo;Volkswagen
Ford Fiesta Street 1.0 8v;18900.0;2007;180.000 Km;Mauá ; São Paulo;Ford
Renault Clio Sedan 1.0 16v Authentique Hi-flex 4p;21900.0;2007;288.000 Km;São Bernardo do Campo ; São Paulo;Renault
Peugeot 207 1.4 Xr Flex 5p;22600.0;2012;55.500 Km;Embu das Artes ; São Paulo;Peugeot
Ford Ford Escort Gl 1.8 I. Único Dono;18900.0;1996;60.900 Km;São Bernardo do Campo ; São Paulo;Ford
Ford Ka 1.0 Flex 3p;18900.0;2011;80.500 Km;São Paulo Zona Sul ; São Paulo;Ford
Fiat Palio 1.0 Ex 3p;11900.0;2001;220.000 Km;São Paulo Zona Leste ; São Paulo;Fiat
Volkswagen Gol Gol 2.0 2p;15900.0;2005;274.196 Km;Osasco ; São Paulo;Volkswagen
Volkswagen Gol 1.0 5p Álcool;8900.0;1998;200.000 Km;São Paulo Zona Leste ; São Paulo;Volkswagen
Ford Ka 1.0 Gl Image 3p;16800.0;2001;167.500 Km;Diadema ; São Paulo;Ford
Peugeot 207 1.4 Xr Sport Flex 5p;22700.0;2010;118.000 Km;São Paulo Zona Sul ; São Paulo;Peugeot
Chevrolet Kadett 1.8 Gl 3p;11000.0;1995;891.965 Km;Suzano ; São Paulo;Chevrolet
Renault Logan 1.6 Expression Hi-torque 4p;16990.0;2009;330.000 Km;São Paulo Zona Norte ; São Paulo;Renault
Volkswagen Gol 1.6 Power Total Flex 5p;23900.0;2005;114.000 Km;Suzano ; São Paulo;Volkswagen
Ford Fiesta 1.0 Flex 5p;24990.0;2007;124.000 Km;São Paulo Zona Leste ; São Paulo;Ford
Volkswagen Fox 1.0 Vht Trend Total Flex 3p;14500.0;2009;2.000 Km;São Paulo Zona Leste ; São Paulo;Volkswagen
Volkswagen Gol 1.0 Trend Total Flex 5p;23000.0;2010;216.422 Km;São Paulo Zona Oeste ; São Paulo;Volkswagen
Peugeot 207 1.4 Xr Flex 5p;18500.0;2013;174.500 Km;São Paulo Zona Leste ; São Paulo;Peugeot
Chevrolet Corsa 1.0 Super 5p;16500.0;2000;180.000 Km;São Paulo Zona Sul ; São Paulo;Chevrolet
