titulo;metro_quadrato;qtd_quarto;qtd_banheiro;qtd_vaga_carro;valor
Apartamento com 2 Quartos à Venda, 47m²;47;2;1;1;R$ 100.000
Apartamento com 2 Quartos à Venda, 42m²;42;2;1;1;R$ 100.000
Apartamento com 2 Quartos à Venda, 60m²;60;2;1;1;R$ 100.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 100.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 100.000
Apartamento com 2 Quartos à Venda, 40m²;40;2;1;1;R$ 100.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;2;R$ 100.000
Apartamento com 2 Quartos à Venda, 44m²;44;2;1;--;R$ 100.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 100.000
Apartamento com 2 Quartos à Venda, 50m²;50;2;1;1;R$ 100.000
Apartamento com 2 Quartos à Venda, 42m²;42;2;1;1;R$ 100.000
Apartamento com 2 Quartos à Venda, 42m²;42;2;1;1;R$ 100.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 100.000
Apartamento com 2 Quartos à Venda, 50m²;50;2;1;--;R$ 100.000
Apartamento com 2 Quartos à Venda, 40m²;40;2;1;1;R$ 100.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 100.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 100.000
Apartamento com 2 Quartos à Venda, 50m²;50;2;1;1;R$ 100.000
Apartamento com 2 Quartos à Venda, 50m²;50;2;1;1;R$ 100.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 100.000
Apartamento com 2 Quartos à Venda, 34m²;34;2;1;--;R$ 100.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 100.000
Apartamento com 3 Quartos à Venda, 76m²;76;3;1;--;R$ 100.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 100.000
Apartamento com 2 Quartos à Venda, 47m²;47;2;1;1;R$ 101.000
Apartamento com 2 Quartos à Venda, 50m²;50;2;1;1;R$ 101.100
Apartamento com 2 Quartos à Venda, 42m²;42;2;1;--;R$ 101.500
Apartamento com 2 Quartos à Venda, 43m²;43;2;1;--;R$ 101.500
Apartamento com 2 Quartos à Venda, 42m²;42;2;1;--;R$ 101.500
Apartamento com 2 Quartos à Venda, 42m²;42;2;1;1;R$ 101.500
Apartamento com 2 Quartos à Venda, 43m²;43;2;1;--;R$ 101.500
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;--;R$ 101.500
Apartamento com 2 Quartos à Venda, 42m²;42;2;1;1;R$ 101.500
Apartamento com 2 Quartos à Venda, 43m²;43;2;1;--;R$ 101.500
Apartamento com 2 Quartos à Venda, 39m²;39;2;1;--;R$ 102.000
Apartamento com 2 Quartos à Venda, 35m²;35;2;1;--;R$ 102.600
Apartamento com 2 Quartos à Venda, 47m²;47;2;1;1;R$ 103.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 103.000
Apartamento com 2 Quartos à Venda, 44m²;44;2;1;1;R$ 103.200
Apartamento com 2 Quartos à Venda, 42m²;42;2;1;1;R$ 104.120
Apartamento com  Quarto à Venda, 27m²;27;1;1;1;R$ 104.895
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 105.000
Apartamento com 2 Quartos à Venda, 43m²;43;2;1;1;R$ 105.000
Apartamento com 2 Quartos à Venda, 49m²;49;2;1;1;R$ 105.000
Apartamento com  Quarto à Venda, 32m²;32;1;1;--;R$ 105.000
Apartamento com 2 Quartos à Venda, 39m²;39;2;1;--;R$ 105.000
Apartamento com 2 Quartos à Venda, 47m²;47;2;1;1;R$ 105.000
Apartamento com 2 Quartos à Venda, 38m²;38;2;1;--;R$ 105.143
Apartamento com 2 Quartos à Venda, 10m²;10;2;1;--;R$ 105.143
Apartamento com  Quarto à Venda, 33m²;33;1;1;--;R$ 105.298
Apartamento com  Quarto à Venda, 33m²;33;1;1;--;R$ 105.298
Apartamento com 2 Quartos à Venda, 40m²;40;2;1;--;R$ 105.600
Apartamento com 2 Quartos à Venda, 40m²;40;2;1;1;R$ 105.600
Apartamento com 2 Quartos à Venda, 10m²;10;2;1;--;R$ 105.600
Apartamento com 2 Quartos à Venda, 40m²;40;2;1;--;R$ 106.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 106.200
Apartamento com 2 Quartos à Venda, 49m²;49;2;1;--;R$ 106.200
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;--;R$ 106.200
Apartamento com 2 Quartos à Venda, 55m²;55;2;1;--;R$ 106.390
Apartamento com 2 Quartos à Venda, 36m²;36;2;1;--;R$ 106.400
Apartamento com 2 Quartos à Venda, 35m²;35;2;1;1;R$ 106.400
Apartamento com 2 Quartos à Venda, 42m²;42;2;1;1;R$ 106.744
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 107.500
Apartamento com 2 Quartos à Venda, 49m²;49;2;1;--;R$ 107.514
Apartamento com 2 Quartos à Venda, 49m²;49;2;1;--;R$ 107.514
Apartamento com 2 Quartos à Venda, 10m²;10;2;1;--;R$ 107.514
Apartamento com 2 Quartos à Venda, 50m²;50;2;1;--;R$ 107.515
Apartamento com 2 Quartos à Venda, 50m²;50;2;1;--;R$ 107.515
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 108.000
Apartamento com 2 Quartos à Venda, 39m²;39;2;1;--;R$ 108.000
Apartamento com 2 Quartos à Venda, 39m²;39;2;1;--;R$ 108.000
Apartamento com 2 Quartos à Venda, 10m²;10;2;1;--;R$ 108.000
Apartamento com 2 Quartos à Venda, 10m²;10;2;1;--;R$ 108.000
Apartamento com  Quarto à Venda, 24m²;24;1;1;1;R$ 108.993
Apartamento com  Quarto à Venda, 24m²;24;1;1;--;R$ 108.993
Apartamento com  Quarto à Venda, 25m²;25;1;1;--;R$ 109.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 109.560
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 110.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;--;R$ 110.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 110.000
Apartamento com 2 Quartos à Venda, 56m²;56;2;1;1;R$ 110.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 110.000
Apartamento com 2 Quartos à Venda, 38m²;38;2;1;2;R$ 110.000
Apartamento com 4 Quartos à Venda, 110m²;110;4;4;--;R$ 110.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 110.000
Apartamento com  Quarto à Venda, 36m²;36;1;1;--;R$ 110.000
Apartamento com 2 Quartos à Venda, 45m²;45;2;1;1;R$ 110.000
Apartamento com 2 Quartos à Venda, 50m²;50;2;1;1;R$ 110.000
Apartamento com 2 Quartos à Venda, 44m²;44;2;1;1;R$ 110.000
Apartamento com 2 Quartos à Venda/Aluguel 48m²;48;2;1;--;R$ 110.000
Apartamento com  Quarto à Venda, 30m²;30;1;1;--;R$ 110.000
Apartamento com  Quarto à Venda, 32m²;32;1;1;--;R$ 110.000
Apartamento com 2 Quartos à Venda, 42m²;42;2;1;1;R$ 110.000
Apartamento com 2 Quartos à Venda, 47m²;47;2;1;1;R$ 110.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 110.000
Apartamento com 2 Quartos à Venda, 50m²;50;2;1;1;R$ 110.000
Apartamento com 2 Quartos à Venda, 52m²;52;2;1;1;R$ 110.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 110.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 110.000
